# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=18
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2002696782
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-30.9786,1,0.25,1,1,0,31.1959,-0.351671
-30.9786,0,14.3855,0,1,1,31.3908,-0.351671
-30.9786,0,2.43117,0,1,1,31.5386,-0.351671
-30.7451,1,0.239791,1,1,0,30.9347,-0.284357
-30.8678,0.664642,0.324332,2,3,0,31.4787,0.0335809
-30.9081,0.867755,0.186619,1,3,0,32.2135,-0.333888
-30.9689,0.94247,0.206255,2,3,0,31.5655,-0.349312
-30.6658,1,0.301327,1,1,0,30.8747,-0.252286
-30.7964,0.822859,0.546168,1,1,0,31.0908,-0.301645
-30.7964,1.08944e-12,0.578856,1,1,0,32.0647,-0.301645
-30.7604,0.999898,0.0459373,1,3,0,30.8136,-0.289714
-30.9441,0.994304,0.0869037,4,15,0,31.1434,-0.343176
-30.5564,0.959437,0.162549,2,5,0,31.4496,-0.119178
-30.5538,1,0.27289,1,1,0,30.5566,-0.125048
-30.5538,3.67111e-13,0.519285,1,1,0,34.6704,-0.125048
-31.0163,0.994601,0.0443625,3,15,0,31.5834,-0.360583
-30.563,0.997526,0.0838223,2,5,0,31.1934,-0.108496
-30.6088,0.997506,0.158754,3,7,0,30.6095,-0.22139
-30.6088,0.176547,0.29828,1,1,0,32.7713,-0.22139
-30.598,0.999951,0.0470888,1,3,0,30.616,-0.213977
-30.5613,0.999075,0.0893199,2,7,0,30.653,-0.178418
-30.6191,0.979165,0.167374,1,3,0,30.7755,-0.0615088
-30.6057,1,0.292958,1,1,0,30.6364,-0.0700204
-30.6057,0.000178733,0.5399,1,1,0,32.0442,-0.0700204
-30.9389,0.99172,0.0552249,2,7,0,31.3647,0.0524985
-31.4506,0.979927,0.0998414,2,7,0,31.7174,0.15536
-31.2648,1,0.172871,1,1,0,31.4771,0.122622
-31.3212,0.85098,0.3138,2,3,0,31.9266,-0.422326
-32.1677,0.555822,0.372404,1,1,0,32.8452,-0.546799
-31.6903,1,0.195053,1,1,0,32.1799,-0.48229
-33.3961,0.383287,0.348555,2,3,0,33.8695,0.38868
-31.0384,1,0.115555,3,7,0,33.2629,-0.365633
-30.962,1,0.205413,1,1,0,31.0894,-0.347617
-30.7954,0.982601,0.361738,1,3,0,30.8866,0.0119511
-30.7954,0.00126184,0.602778,1,1,0,30.8578,0.0119511
-30.8043,0.999819,0.0754669,3,7,0,30.8303,0.0147734
-30.5704,0.953241,0.132077,1,3,0,31.6807,-0.189942
-30.8044,0.929583,0.203096,1,3,0,31.0384,0.0148064
-32.1448,0.564716,0.29192,1,1,0,32.2043,0.254587
-31.5388,1,0.164615,2,3,0,32.0728,0.169713
-30.6923,1,0.281587,2,3,0,31.2217,-0.0253665
-30.9261,0.765744,0.477787,1,1,0,30.9629,-0.338576
-30.9261,0.0918321,0.44859,1,1,0,31.1927,-0.338576
-31.4019,0.993111,0.0795408,3,7,0,31.4393,-0.436489
-31.1338,1,0.132339,2,3,0,31.3784,-0.386261
