# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=18
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2002696782
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-30.6476,0.960564,0.195978,1,3,0,31.0442,-0.0458746
-30.8079,0.943024,0.27047,1,1,0,30.8291,0.0158974
-30.7838,1,0.360061,1,1,0,30.9474,0.00820553
-30.7838,0.0599471,0.532174,1,1,0,30.848,0.00820553
-30.7693,0.980546,0.134817,2,3,0,31.1295,0.00339828
-31.2553,0.947225,0.192305,2,7,0,31.3295,-0.410201
-31.0456,1,0.257052,1,1,0,31.319,-0.367264
-30.689,0.99936,0.377857,2,3,0,30.7934,-0.026757
-31.053,0.573105,0.552955,1,1,0,31.6024,0.079559
-31.053,0.0115749,0.369216,1,1,0,33.1567,0.079559
-31.0855,0.998721,0.0887314,1,1,0,31.0933,0.0866859
-30.6469,1,2.07742,2,3,0,30.8765,-0.0462292
-30.6469,0,29.8847,0,1,1,31.358,-0.0462292
-30.6469,4.32411e-25,5.05055,1,1,0,31.2141,-0.0462292
-30.5527,0.993385,0.498146,2,7,0,31.1216,-0.127998
-30.5509,0.999973,0.661159,2,7,0,30.5539,-0.134977
-30.5845,0.997221,1.03302,3,7,0,30.5913,-0.0858608
-30.7383,0.944902,1.74259,1,1,0,30.7418,-0.00747109
-30.5499,1,2.62557,1,1,0,30.6062,-0.144571
-30.6626,0.727218,4.82528,1,1,0,30.8785,-0.0385474
-30.6626,0.111808,3.8075,1,1,0,30.6771,-0.0385474
-30.7362,0.997458,0.431004,1,3,0,30.8011,-0.00821465
-30.572,0.961733,0.807726,2,5,0,31.5504,-0.191674
-30.9309,0.959429,1.3574,2,3,0,30.9386,0.0504628
-30.5901,0.973883,2.26478,2,3,0,30.7684,-0.0813295
-31.4625,0.192794,3.94253,1,1,0,32.2573,-0.446688
-30.9859,0.994656,0.607102,1,3,0,31.6863,-0.353439
-30.9604,1,1.13242,1,1,0,31.0375,-0.347245
-31.2409,0.771371,2.13127,2,3,0,31.5616,0.118125
-30.55,0.998777,1.98899,2,3,0,30.9134,-0.147191
-30.55,0.000922731,3.68402,1,1,0,31.1822,-0.147191
-30.7599,0.996257,0.345016,3,11,0,31.0382,0.000202185
-30.6114,0.995819,0.637837,1,3,0,30.8905,-0.0662897
-30.5963,0.977694,1.16628,1,3,0,30.8291,-0.212758
