# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=18
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2002696782
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-35.7663,1,0.25,1,1,0,40.5774,-0.866745
-35.7663,0,14.3855,0,1,1,35.7856,-0.866745
-35.7663,0,2.43117,0,1,1,35.7791,-0.866745
-35.3125,1,0.239791,1,1,0,36.9131,-0.834618
-31.8244,1,0.324332,2,3,0,33.9659,0.212236
-31.8244,1.13538e-06,0.507206,1,1,0,32.3691,0.212236
-32.0491,0.999552,0.0404066,4,19,0,32.0503,-0.53178
-30.982,0.96587,0.0686289,2,7,0,34.7769,-0.352505
-30.5499,0.997632,0.110156,2,7,0,31.1322,-0.142742
-30.6358,0.989575,0.20118,2,3,0,30.6413,-0.237352
-30.7315,0.964314,0.364404,2,3,0,30.733,-0.00996209
-30.7655,0.313067,0.614641,1,3,0,30.8644,-0.291476
-30.7805,0.893634,0.133753,2,7,0,32.8395,0.00712131
-30.6383,0.943437,0.182844,1,3,0,31.3254,-0.238663
-30.5499,0.999957,0.292319,1,3,0,30.6017,-0.144128
-30.5499,0.0226346,0.555387,1,1,0,30.9458,-0.144128
-31.0865,0.991585,0.0518211,3,9,0,31.8371,0.086904
-31.139,0.999181,0.0967251,2,3,0,31.1463,0.0979786
-30.8659,0.990104,0.183363,2,7,0,31.28,-0.3224
-30.8659,0.357602,0.335304,1,1,0,31.9127,-0.3224
-30.9718,0.996732,0.0922013,3,7,0,31.1062,-0.35003
-30.9798,0.974066,0.171535,3,7,0,31.424,0.0626095
-30.689,0.830608,0.295724,2,3,0,31.481,-0.262578
-31.5089,0.634435,0.33307,1,1,0,31.6129,-0.454278
-30.5599,0.970243,0.212783,2,3,0,31.7398,-0.113092
-31.7272,0.473817,0.357653,1,1,0,31.7908,0.198346
-31.1312,0.996956,0.14605,3,7,0,31.9048,0.0963622
-31.6202,0.844089,0.263233,1,1,0,31.7631,0.182391
-31.4792,1,0.306911,2,3,0,31.716,-0.449441
-31.4792,1.28876e-05,0.549015,1,1,0,31.6303,-0.449441
-30.5853,0.989056,0.0628941,2,7,0,32.6551,-0.0851736
-30.6003,0.999307,0.109597,2,3,0,30.606,-0.0736773
-30.5933,1,0.194543,2,7,0,30.5991,-0.210567
-30.5933,0.045548,0.342746,1,1,0,32.7769,-0.210567
-31.1929,0.991637,0.0476773,2,7,0,31.7143,-0.398197
-31.1953,0.999919,0.0823374,1,1,0,31.216,-0.398667
-31.2675,0.997512,0.14404,2,3,0,31.3096,-0.412493
-30.8057,1,0.248217,2,3,0,31.1517,-0.30458
-30.8057,0.024164,0.426848,1,1,0,32.5194,-0.30458
-30.8983,0.997729,0.0605104,1,3,0,30.9523,-0.331294
-30.6603,0.997554,0.103692,2,7,0,31.0655,-0.0396207
-30.749,0.986329,0.176166,1,1,0,30.75,-0.00361304
-30.553,0.768917,0.288738,2,3,0,31.3984,-0.162143
-30.5519,1,0.274329,1,1,0,30.5532,-0.15873
-30.5502,1,0.460112,1,1,0,30.5503,-0.139611
-30.5502,0.306299,0.765984,1,1,0,30.5766,-0.139611
-30.5582,0.979066,0.235871,2,3,0,30.6643,-0.173496
-30.559,0.999812,0.372399,2,3,0,30.559,-0.17487
-30.559,4.58666e-08,0.613903,1,1,0,31.5478,-0.17487
